,,,,,,,,,Part Request List,,
,,,,,,,,,Requested By:,_______________                                ,
,,,,,,,,,Date Requested:,__ /__ /__,
,,,,,,,,,Date Completed:,__ /__ /__,
,,,,,,,,,Assembly Name:,_______________,
,,,,,,,,,Assemblies:,x1,
,,,,,,,,,,,
,,,,,,,,,,,
Machine,Completed Kit,Completed Assembly Name,Number Per Machine,UOM,Quantity per Machine,Quantity per Assembly,Final QTY (per Machine),Stocked,Part Number,Description,Requested Quantity
Proslab,75094-EA-700,HV Box Prep,1,each,1,1,1,No,28042-CB-100,"Enclosure, Servo System, modified 70097-SD-100, Separate connector panel",1
Proslab,75094-EA-700,HV Box Prep,1,each,1,1,1,No,28043-CB-100,"Connector Panel, Servo box, for connectorized servo cables",1
R300,No Part Number,HV Box Prep,1,each,1,7,7,Yes,50309-SD-100,"Insert, Rivet Nut, M5, McMaster 91230A004",0
R300,No Part Number,HV Box Prep,1,each,1,4,4,Yes,50311-SD-100,"Insert, Rivet Nut, M4, McMaster 91230A002",0
R300,No Part Number,HV Box Prep,1,each,1,16,16,Yes,61055-ME-100,"Nut, Hex Flanged, Nyloc, M6",0
R300,No Part Number,HV Box Prep,1,each,1,7,7,Yes,61205-ME-100,"Bolt, SHCS, M5-0.8 x 10, Zinc",0
R300,No Part Number,HV Box Prep,1,each,1,4,4,Yes,61284-ME-100,"screw, cap, socket, M4-.7X45, Stainless, Mcmaster 92290A186",0
R300,No Part Number,HV Box Prep,1,each,1,16,16,Yes,61401-ME-100,"Bolt, Hex Flange, M6-1.0 x 16, Grade 10.9, yellow zinc",0
R300,No Part Number,HV Box Prep,1,each,1,1,1,Yes,70003-SD-200,"Deutsch DT04-3P-EE01, 3 way receptacle with strain relief",0
R300,No Part Number,HV Box Prep,1,each,1,1,1,Yes,70004-SD-200,"Deutsch W3P, wedgelock for 3 way receptacle, Green",0
R300,No Part Number,HV Box Prep,1,each,1,1,1,Yes,70317-SD-100,"Deutsch, Gasket, HD30, Size 24, 16-04477",0
R300,No Part Number,HV Box Prep,1,each,1,1,1,Yes,70319-SD-100,"Deutsch, Lockwasher, HDP20, Size 24, 2414-001-2486",0
R300,No Part Number,HV Box Prep,1,each,1,1,1,Yes,70321-SD-100,"Deutsch, Nut, HDP20, Size 24, 2411-001-2405",0
Proslab,75094-EA-700,HV Box Prep,1,each,1,1,1,No,28045-CB-100,"Connector Blanking plate, 1.5""",1
Proslab,75094-EA-700,HV Box Prep,1,each,1,1,1,No,28046-CB-100,"Connector Blanking plate, 1.5"", Flatted",1
R300,No Part Number,HV Box Prep,1,each,1,1,1,Yes,75098-EA-700,"Heat Exchanger Assembly, Servo Cabinet, Version 2 (WAS 28048-CB-700)",0
R300,unknown…,Control Box Panel Assembly,1,each,1,6,6,Yes,70319-SD-100,"Deutsch, Lockwasher, HDP20, Size 24, 2414-001-2486",0
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,0,0,No,28022-CB-100,"Enclosure, Control System, modified 70097-SD-100",0
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,28124-CB-100,"Panel, Servo Box, Gen 2",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,1,1,No,28125-CB-100,"Fuse Block Mounting Plate, 9 Gang",1
R300,unknown…,High Voltage Box Panel Assembly,1,each,1,0,0,No,28126-CB-100,"BULKHEAD, SERVO, GEN 2",0
